169.896,-43.5067,20
169.431,-43.7501,16
169.555,-43.7515,20
170.157,-43.614,22
169.787,-43.8296,26
169.935,-43.7304,44
169.97,-43.8892,40
169.804,-43.7542,36
169.593,-43.8203,38
170.179,-43.5135,28
169.512,-43.7078,42
170.081,-43.4764,18
169.997,-43.4538,38
170.165,-43.4989,16
170.199,-43.5029,32
169.816,-43.8587,24
169.63,-43.8891,28
169.633,-43.954,44
170.213,-43.3626,36
169.431,-43.7501,20
170.13,-43.4949,18
170.181,-43.4235,18
169.946,-43.5253,16
170.231,-43.442,32
170.116,-43.4804,18
170.097,-43.8006,44
169.781,-43.6999,40
169.471,-43.7289,36
169.633,-43.954,36
170.289,-43.5003,16
170.104,-43.5306,24
170.187,-43.3983,34
170.124,-43.5201,42
170.217,-43.5823,38
169.877,-43.827,42
170.035,-43.5227,16
169.957,-43.475,40
169.639,-43.9288,34
169.561,-43.7263,34
169.897,-43.6616,16
170.213,-43.3626,40
170.234,-43.5069,16
169.804,-43.909,42
169.885,-43.557,24
169.619,-43.9394,44
169.946,-43.5253,32
169.828,-43.8085,36
170.219,-43.4923,16
169.868,-43.7873,34
170.168,-43.5637,18
170.208,-43.5426,16
169.555,-43.7515,42
170.207,-43.3877,18
170.17,-43.4738,16
169.738,-43.9659,40
169.561,-43.7263,42
169.607,-43.8348,44
169.836,-43.5385,36
170.153,-43.5492,38
169.512,-43.7078,18
169.575,-43.8957,24
169.445,-43.7647,44
169.88,-43.8918,42
170.132,-43.4049,30
169.645,-43.7488,18
169.99,-43.7238,20
169.97,-43.8892,26
169.929,-43.9104,42
170.236,-43.4169,18
169.715,-43.602,22
170.265,-43.446,38
169.659,-43.9182,42
170.134,-43.7146,34
170.205,-43.4777,16
169.877,-43.6722,26
169.839,-43.913,34
169.845,-43.733,38
170.101,-43.4658,18
169.986,-43.659,44
170.073,-43.5915,16
169.998,-43.6087,32
170.092,-43.4261,22
169.96,-43.5399,16
169.96,-43.5399,40
170.006,-43.4936,42
169.697,-43.8322,26
170.066,-43.4618,22
170.029,-43.5478,16
169.653,-43.9434,34
169.431,-43.7501,36
169.553,-43.6866,32
170.047,-43.6272,30
169.997,-43.4538,18
169.648,-43.9685,34
170.016,-43.6881,16
169.729,-43.9262,38
169.911,-43.6761,28
170.19,-43.4632,16
169.775,-43.5702,26
169.963,-43.6047,18
170.044,-43.5624,16
170.171,-43.6286,16
170.092,-43.4261,18
169.431,-43.7501,40
169.755,-43.5808,28
169.819,-43.6139,40
169.871,-43.5425,18
169.767,-43.995,36
169.94,-43.7053,24
169.833,-43.7833,36
170.026,-43.483,16
169.764,-43.7753,42
169.954,-43.565,16
170.11,-43.5055,18
169.986,-43.5041,38
169.575,-43.8957,34
170.087,-43.4512,18
170.02,-43.5081,16
169.488,-43.8083,36
170.004,-43.7384,40
169.709,-43.9368,42
169.558,-43.8163,42
169.983,-43.5941,20
169.767,-43.8402,26
170.269,-43.5108,28
170.242,-43.3917,26
169.758,-43.8005,42
169.691,-44.0122,44
169.624,-43.9143,30
170.141,-43.4446,38
169.894,-43.7516,32
169.989,-43.569,30
169.903,-43.7913,18
170.287,-43.3454,16
170.127,-43.4301,34
169.917,-43.651,26
170.186,-43.6432,28
169.822,-43.8336,32
170.03,-43.7027,16
170.205,-43.4777,16
169.929,-43.7556,42
169.957,-43.475,20
169.677,-43.688,40
170.24,-43.4817,32
169.9,-43.7264,34
170.254,-43.4963,28
170.17,-43.4738,28
170.258,-43.5611,18
170.283,-43.5254,24
169.865,-43.7224,16
169.674,-43.6231,24
169.897,-43.6616,24
170.247,-43.3666,36
169.593,-43.8203,26
170.227,-43.3772,18
170.156,-43.4592,32
170.104,-43.5306,18
169.509,-43.7978,42
169.799,-43.7793,40
169.471,-43.7289,36
169.633,-43.954,36
169.48,-43.7686,30
169.819,-43.7688,18
169.969,-43.7344,38
169.587,-43.8454,18
169.929,-43.7556,34
170.265,-43.446,16
170.3,-43.45,42
170.15,-43.4843,18
169.688,-43.9474,36
170.187,-43.3983,30
169.61,-43.7449,34
169.599,-43.7951,38
170.234,-43.5069,28
169.471,-43.7289,42
169.619,-43.9394,44
170.283,-43.5254,16
169.917,-43.651,30
169.975,-43.7093,44
170.162,-43.5889,26
170.289,-43.5003,16
170.17,-43.4738,16
169.668,-43.6483,18
170.072,-43.4367,30
169.613,-43.6549,42
170.241,-43.6366,32
169.995,-43.6987,42
169.749,-43.6059,16
170.172,-43.3838,44
170.251,-43.4314,18
169.575,-43.8957,24
169.445,-43.7647,44
170.264,-43.6908,28
170.263,-43.536,16
170.26,-43.4711,16
169.81,-43.5742,20
169.573,-43.676,42
170.231,-43.442,16
169.784,-43.6099,30
